surface_area_acres	volume_ac_ft	elev_ft
14776.0	302324.0	6300.0
15162.0	317293.0	6301.0
15536.0	332642.0	6302.0
15903.0	348362.0	6303.0
16259.0	364443.0	6304.0
16609.0	380877.0	6305.0
16952.0	397657.0	6306.0
17289.0	414777.0	6307.0
17623.0	432233.0	6308.0
17949.0	450019.0	6309.0
18264.0	468126.0	6310.0
18574.0	486544.0	6311.0
18882.0	505272.0	6312.0
19189.0	524308.0	6313.0
19498.0	543651.0	6314.0
19808.0	563304.0	6315.0
20117.0	583267.0	6316.0
20424.0	603537.0	6317.0
20727.0	624113.0	6318.0
21025.0	644989.0	6319.0
21319.0	666161.0	6320.0
21609.0	687625.0	6321.0
21895.0	709378.0	6322.0
22179.0	731415.0	6323.0
22455.0	753732.0	6324.0
22723.0	776321.0	6325.0
22986.0	799175.0	6326.0
23246.0	822291.0	6327.0
23505.0	845667.0	6328.0
23766.0	869302.0	6329.0
24029.0	893199.0	6330.0
24292.0	917360.0	6331.0
24557.0	941785.0	6332.0
24826.0	966476.0	6333.0
25094.0	991436.0	6334.0
25366.0	1016666.0	6335.0
25643.0	1042171.0	6336.0
25926.0	1067955.0	6337.0
26215.0	1094026.0	6338.0
26509.0	1120388.0	6339.0
26805.0	1147045.0	6340.0
27101.0	1173998.0	6341.0
27398.0	1201247.0	6342.0
27695.0	1228794.0	6343.0
27987.0	1256635.0	6344.0
28277.0	1284767.0	6345.0
28565.0	1313188.0	6346.0
28848.0	1341895.0	6347.0
29124.0	1370881.0	6348.0
29391.0	1400138.0	6349.0
29650.0	1429659.0	6350.0
29904.0	1459436.0	6351.0
30158.0	1489467.0	6352.0
30409.0	1519750.0	6353.0
30662.0	1550286.0	6354.0
30920.0	1581077.0	6355.0
31182.0	1612128.0	6356.0
31449.0	1643443.0	6357.0
31720.0	1675028.0	6358.0
31998.0	1706886.0	6359.0
32283.0	1739027.0	6360.0
32575.0	1771456.0	6361.0
32873.0	1804180.0	6362.0
33182.0	1837207.0	6363.0
33517.0	1870557.0	6364.0
33869.0	1904250.0	6365.0
34224.0	1938297.0	6366.0
34593.0	1972705.0	6367.0
35070.0	2007537.0	6368.0
35619.0	2042882.0	6369.0
36266.0	2078825.0	6370.0
36970.0	2115443.0	6371.0
37688.0	2152772.0	6372.0
38409.0	2190820.0	6373.0
39127.0	2229588.0	6374.0
39915.0	2269109.0	6375.0
40724.0	2309428.0	6376.0
41531.0	2350556.0	6377.0
42325.0	2392484.0	6378.0
43012.0	2435153.0	6379.0
43670.0	2478494.0	6380.0
44256.0	2522457.0	6381.0
44783.0	2566976.0	6382.0
45295.0	2612015.0	6383.0
45799.0	2657562.0	6384.0
46310.0	2703617.0	6385.0
46734.0	2750139.0	6386.0
47112.0	2797062.0	6387.0
47492.0	2844364.0	6388.0
47865.0	2892042.0	6389.0
48245.0	2940097.0	6390.0
48584.0	2988512.0	6391.0
48893.0	3037250.0	6392.0
49194.0	3086294.0	6393.0
49491.0	3135637.0	6394.0
49796.0	3185280.0	6395.0
50093.0	3235225.0	6396.0
50375.0	3285459.0	6397.0
50660.0	3335976.0	6398.0
50930.0	3386771.0	6399.0
51204.0	3437838.0	6400.0
51469.0	3489175.0	6401.0
51720.0	3540769.0	6402.0
51967.0	3592613.0	6403.0
52208.0	3644700.0	6404.0
52451.0	3697030.0	6405.0
52685.0	3749598.0	6406.0
52904.0	3802392.0	6407.0
53117.0	3855403.0	6408.0
53326.0	3908624.0	6409.0
53534.0	3962054.0	6410.0
53741.0	4015692.0	6411.0
53939.0	4069532.0	6412.0
54134.0	4123568.0	6413.0
54327.0	4177799.0	6414.0
54527.0	4232226.0	6415.0
54730.0	4286854.0	6416.0
54924.0	4341681.0	6417.0
55120.0	4396703.0	6418.0
55318.0	4451922.0	6419.0
55534.0	4507348.0	6420.0
55756.0	4562993.0	6421.0
55976.0	4618859.0	6422.0
56205.0	4674950.0	6423.0
56450.0	4731278.0	6424.0
56760.0	4787883.0	6425.0
57066.0	4843440.0	6426.0
57365.0	4900496.0	6427.0
57668.0	4957793.0	6428.0
57972.0	5015397.0	6429.0
58276.0	5073424.0	6430.0
58569.0	5132187.0	6431.0
58853.0	5191152.0	6432.0
59136.0	5250319.0	6433.0
59412.0	5309688.0	6434.0
59675.0	5369259.0	6435.0
59920.0	5429032.0	6436.0
60150.0	5489007.0	6437.0
60365.0	5549184.0	6438.0
60565.0	5609563.0	6439.0
60750.0	5670144.0	6440.0
